"Key","Publication Year","Title","Rights","Archive","Archive Location"
"QRAE92S3","2020","A high frequency CLLLC bi-directional series resonant converter DAB using an integrated PCB winding transformer","Industry Texas Instrument","Vin=380-600V, Vo=300-420V, fs=500kHz","Power=6.6kW, PD=4.64kW/L, Eff_pk=0.98, Eff_avg=0.965"
"KDS5WX3Z","2021","A Novel Three-level Phase-Shift Modulation for Serial Half Bridge LLC Resonant Converter","","",""
"UV25BGEU","2018","New PCB Winding ”Snake-Core” Matrix Transformer for Ultra-Compact Wide DC Input Voltage Range Hybrid B+DCM Resonant Server Power Supply","","",""
"XV5LD2GK","2021","Dual Phase LLC Resonant Converter With Variable Frequency Zero Circulating Current Phase-Shift Modulation for Wide Input Voltage Range Applications","University of Malaya","",""
"B3426XEB","2021","A high-efficiency high-power-density on-board low-voltage DC–DC converter for electric vehicles application","Queen'sU","Vin=250-430V, Vo=9-16V, fs = 260-400kHz","Power=3kW, PD=3kW/L, Eff_pk=0.969,  Eff_avg=0.95, Eff_low=0.961"
"4CXST3VN","2012","A Novel ZVZCS Full-Bridge DC/DC Converter Used for Electric Vehicles","Queen'sU","Vin=235-431V, Vo=11.5-15V, fs=220kHz","Power=3kW, Eff_pk=0.975,  Eff_avg=0.955, Eff_low=0.93"
"4WBEVQ6M","2013","Enhanced modulation strategy for a three-phase dual active bridge—boosting efficiency of an electric vehicle converter","RWTH","Vin=100-170V, Vo=10-16V, fs = 100kHz","Power=2kW, PD=1kW/L, Eff_pk=0.943,  Eff_avg=0.928, Eff_low=0.928-0.945(500W)"
"BYM6A8VT","2012","A soft switching three-phase current-fed bidirectional DC-DC converter with high efficiency over a wide input voltage range","FSU","Vin=24-48V, Vo=288V, fs = 40kHz","Power=6kW, Eff_pk=0.964,  Eff_avg=0.94, Eff_low=0.92(2.5kW)"
"3LRAT3Z4","2016","Performance Evaluation of a Three-Phase Dual Active Bridge DC–DC Converter With Different Transformer Winding Configurations","TU/e","",""
"Q4JUGPLB","2015","New interleaved current-fed resonant converter with significantly reduced high current side output filter for EV and HEV applications","","",""
"EXGB9V22","2023","New integrated DC–DC conversion system for electric vehicles","Yonsei Univ.","Vin=135-170V, Vo=12V, fs=90kHz","Power=1.2kW, Eff_pk=0.98, Eff_avg = 0.96"
"QA6I2DZ6","2023","Fixed-frequency circulant phase-shift controlled current-fed resonant converter with wide voltage gain range","HIT Shenzhen","",""
"5WIEMC4V","2023","Generalized Multiphase-Shift Transient Modulation for Dual-Active-Bridge Series-Resonant Converter","","",""
"RJQHBXF5","2022","Modulation Transition Methods Based on Trajectory Control for LLC Resonant Converters Operating in Wide Input- and/or Output-Voltage Range","","",""
"MFEBJ7W7","2024","Model and control of a current-fed dual active bridge based ultrawide-voltage-range auxiliary power module for 400 V/800 V electric vehicles","UTK","Vin=180-900V, Vo=6-16V, fs=80kHz","Power=3.2kW, PD=1.38kW/L, Eff_pk=0.97,  Eff_avg=0.95"
"J6ZTSTD5","2012","Double-clamp ZVS converter interfaces high voltage traction batteries with 12V legacy system in hybrid and pure-electric vehicles","Industry Vicor","Vin=160-420V, Vo=12.5-15.5V","Power=0.45kW, PD=54kW/L, Eff_pk=0.934, Eff_avg = 0.94"
"DQGIR86L","2021","Power density optimization of 700 kHz GaN-based auxiliary power module for electric vehicles","Seoul Tech","Vin=200-310V, Vo=12.8-15.1V, fs=700kHz","Power=1.8kW, PD=8.1kW/L, Eff_pk=0.9187,  Eff_avg=0.9, Eff_low=0.9(800W)"
"SXC5KYEI","2020","Two-stage vs one-stage design for a bidirectional 400V/12V 6kW auxiliary power module in electric vehicles","UTK","",""
"EM88JF8J","2022","Auxiliary power module elimination in evs using dual inverter drivetrain","U of T","",""
"Y9XYILBK","2015","Evaluation of integrated active filter auxiliary power modules in electrified vehicle applications","McMaster","",""
"8EJKU7WA","2017","Applied integrated active filter auxiliary power module for electrified vehicles with single-phase onboard chargers","McMaster","",""
"R3HTMEH3","2023","Development of phase-shift full-bridge converter with integrated winding planar two-transformer for LDC","Inha Univ.","Vin=400-800V, Vo=13-15V, fs=200kHz","Power=2.1kW, PD=5.2kW/L, Eff_pk=0.954,  Eff_avg=0.935, Eff_low=0.95(1kW)"
"7R47DTII","2021","Design of an isolated bidirectional DC–DC converter with built-in filters for high power density","Industry Toyota Central R&D Labs","",""
"D58RNFFM","2015","Double-phase high-efficiency, wide load range high- voltage/low-voltage LLC DC/DC converter for electric/hybrid vehicles","Supélec","Vin=330-410V, Vo=14V, fs=250kHz","Power=2.5kW, PD=1kW/L, Eff_pk=0.95,  Eff_avg=0.94, Eff_low=0.943(1kW)"
"CQXKLCRV","2023","An ultra-high gain current-fed universal auxiliary power module for 400V/800V electric vehicles","UTK","",""
"ZDEUF5YT","2017","A primary full-integrated active filter auxiliary power module in electrified vehicles with single-phase onboard chargers","McMaster","Vin=100-320V, Vo=12V, fs = 100kHz","Power=0.72kW, PD=0.363kW/L, Eff_pk=0.935, Eff_avg = 0.90"
"K2PCKAIJ","2010","Accurate power loss model derivation of a high-current dual active bridge converter for an automotive application","ETH","Vin=240-450V, Vo=11-16V, fs = 100kHz","Power=2kW, PD=1.535kW/L(case), Eff_pk=0.956,  Eff_avg=0.92,"
